event_id,user_id,page_path,event_time
1,u1,/home,2026-08-20 09:02:00
2,u2,/pricing,2026-08-20 09:41:00
3,u1,/docs,2026-08-20 14:15:00
4,u3,/home,2026-08-21 08:05:00
5,u2,/blog,2026-08-21 11:30:00
6,u4,/pricing,2026-08-21 16:47:00
7,u1,/home,2026-08-22 09:10:00
8,u3,/docs,2026-08-22 10:22:00
9,u5,/home,2026-08-22 13:03:00
10,u2,/pricing,2026-08-23 08:55:00
11,u4,/blog,2026-08-23 12:18:00
12,u1,/docs,2026-08-23 17:40:00
13,u3,/home,2026-08-24 09:31:00
14,u5,/pricing,2026-08-24 10:09:00
15,u2,/docs,2026-08-24 15:52:00
16,u1,/home,2026-08-25 08:20:00
17,u4,/home,2026-08-25 09:44:00
18,u3,/blog,2026-08-25 13:37:00
19,u5,/docs,2026-08-26 09:01:00
20,u2,/home,2026-08-26 10:26:00
21,u1,/pricing,2026-08-26 16:15:00
22,u4,/docs,2026-08-27 08:48:00
23,u3,/home,2026-08-27 11:12:00
24,u5,/blog,2026-08-27 14:59:00
25,u2,/home,2026-08-28 09:05:00
26,u1,/blog,2026-08-28 10:33:00
27,u4,/pricing,2026-08-28 15:21:00
28,u3,/docs,2026-08-29 08:14:00
29,u5,/home,2026-08-29 09:52:00
30,u2,/blog,2026-08-29 13:47:00
